name,url,types,abilities
bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,"grass, poison","overgrow, chlorophyll"
ivysaur,https://pokeapi.co/api/v2/pokemon/2/,"grass, poison","overgrow, chlorophyll"
venusaur,https://pokeapi.co/api/v2/pokemon/3/,"grass, poison","overgrow, chlorophyll"
charmander,https://pokeapi.co/api/v2/pokemon/4/,fire,"blaze, solar-power"
charmeleon,https://pokeapi.co/api/v2/pokemon/5/,fire,"blaze, solar-power"
charizard,https://pokeapi.co/api/v2/pokemon/6/,"fire, flying","blaze, solar-power"
squirtle,https://pokeapi.co/api/v2/pokemon/7/,water,"torrent, rain-dish"
wartortle,https://pokeapi.co/api/v2/pokemon/8/,water,"torrent, rain-dish"
blastoise,https://pokeapi.co/api/v2/pokemon/9/,water,"torrent, rain-dish"
caterpie,https://pokeapi.co/api/v2/pokemon/10/,bug,"shield-dust, run-away"
metapod,https://pokeapi.co/api/v2/pokemon/11/,bug,shed-skin
butterfree,https://pokeapi.co/api/v2/pokemon/12/,"bug, flying","compound-eyes, tinted-lens"
weedle,https://pokeapi.co/api/v2/pokemon/13/,"bug, poison","shield-dust, run-away"
kakuna,https://pokeapi.co/api/v2/pokemon/14/,"bug, poison",shed-skin
beedrill,https://pokeapi.co/api/v2/pokemon/15/,"bug, poison","swarm, sniper"
pidgey,https://pokeapi.co/api/v2/pokemon/16/,"normal, flying","keen-eye, tangled-feet, big-pecks"
pidgeotto,https://pokeapi.co/api/v2/pokemon/17/,"normal, flying","keen-eye, tangled-feet, big-pecks"
pidgeot,https://pokeapi.co/api/v2/pokemon/18/,"normal, flying","keen-eye, tangled-feet, big-pecks"
rattata,https://pokeapi.co/api/v2/pokemon/19/,normal,"run-away, guts, hustle"
raticate,https://pokeapi.co/api/v2/pokemon/20/,normal,"run-away, guts, hustle"
spearow,https://pokeapi.co/api/v2/pokemon/21/,"normal, flying","keen-eye, sniper"
fearow,https://pokeapi.co/api/v2/pokemon/22/,"normal, flying","keen-eye, sniper"
ekans,https://pokeapi.co/api/v2/pokemon/23/,poison,"intimidate, shed-skin, unnerve"
arbok,https://pokeapi.co/api/v2/pokemon/24/,poison,"intimidate, shed-skin, unnerve"
pikachu,https://pokeapi.co/api/v2/pokemon/25/,electric,"static, lightning-rod"
raichu,https://pokeapi.co/api/v2/pokemon/26/,electric,"static, lightning-rod"
sandshrew,https://pokeapi.co/api/v2/pokemon/27/,ground,"sand-veil, sand-rush"
sandslash,https://pokeapi.co/api/v2/pokemon/28/,ground,"sand-veil, sand-rush"
nidoran-f,https://pokeapi.co/api/v2/pokemon/29/,poison,"poison-point, rivalry, hustle"
nidorina,https://pokeapi.co/api/v2/pokemon/30/,poison,"poison-point, rivalry, hustle"
nidoqueen,https://pokeapi.co/api/v2/pokemon/31/,"poison, ground","poison-point, rivalry, sheer-force"
nidoran-m,https://pokeapi.co/api/v2/pokemon/32/,poison,"poison-point, rivalry, hustle"
nidorino,https://pokeapi.co/api/v2/pokemon/33/,poison,"poison-point, rivalry, hustle"
nidoking,https://pokeapi.co/api/v2/pokemon/34/,"poison, ground","poison-point, rivalry, sheer-force"
clefairy,https://pokeapi.co/api/v2/pokemon/35/,fairy,"cute-charm, magic-guard, friend-guard"
clefable,https://pokeapi.co/api/v2/pokemon/36/,fairy,"cute-charm, magic-guard, unaware"
vulpix,https://pokeapi.co/api/v2/pokemon/37/,fire,"flash-fire, drought"
ninetales,https://pokeapi.co/api/v2/pokemon/38/,fire,"flash-fire, drought"
jigglypuff,https://pokeapi.co/api/v2/pokemon/39/,"normal, fairy","cute-charm, competitive, friend-guard"
wigglytuff,https://pokeapi.co/api/v2/pokemon/40/,"normal, fairy","cute-charm, competitive, frisk"
zubat,https://pokeapi.co/api/v2/pokemon/41/,"poison, flying","inner-focus, infiltrator"
golbat,https://pokeapi.co/api/v2/pokemon/42/,"poison, flying","inner-focus, infiltrator"
oddish,https://pokeapi.co/api/v2/pokemon/43/,"grass, poison","chlorophyll, run-away"
gloom,https://pokeapi.co/api/v2/pokemon/44/,"grass, poison","chlorophyll, stench"
