Observacion,clase,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,bruises
0,edible,convex,smooth,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
1,edible,bell,smooth,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
3,edible,convex,smooth,green,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
4,edible,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,grasses,Presenta
5,edible,bell,smooth,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
6,edible,bell,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
7,poisonous,convex,scaly,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,grasses,Presenta
8,edible,bell,smooth,yellow,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
9,edible,convex,scaly,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,grasses,Presenta
10,edible,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
11,edible,bell,smooth,yellow,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
12,poisonous,convex,scaly,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
13,edible,convex,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
14,edible,sunken,fibrous,green,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,solitary,urban,No presenta
16,poisonous,convex,smooth,brown,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
17,poisonous,convex,scaly,white,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,urban,Presenta
18,poisonous,convex,smooth,brown,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,urban,Presenta
19,edible,bell,smooth,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
20,edible,bell,scaly,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,meadows,Presenta
23,edible,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
24,edible,convex,scaly,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
25,edible,flat,fibrous,brown,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,solitary,urban,No presenta
27,edible,bell,smooth,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,numerous,meadows,Presenta
30,edible,convex,scaly,brown,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,paths,Presenta
33,edible,sunken,fibrous,green,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,urban,No presenta
34,edible,convex,fibrous,yellow,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,wood,Presenta
35,edible,bell,smooth,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
