Observacion,clase,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,bruises
0,0,2,2,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,2,0,1
1,0,0,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,2,1
3,0,2,2,3,6,1,1,0,0,1,2,3,3,7,7,2,1,0,1,0,0,0
4,0,2,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,0,1
5,0,0,2,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,2,1
6,0,0,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,2,1
7,1,2,1,7,7,1,0,1,7,0,2,3,3,7,7,2,1,4,0,4,0,1
8,0,0,2,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,3,2,1
9,0,2,1,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,0,1
10,0,2,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,2,1
11,0,0,2,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,0,1
12,1,2,1,7,7,1,0,1,0,0,2,3,3,7,7,2,1,4,1,4,4,1
13,0,2,0,0,6,1,1,0,1,1,2,3,0,7,7,2,1,0,0,0,0,0
14,0,5,0,3,6,1,0,1,0,0,2,3,3,7,7,2,1,4,1,5,4,0
16,1,2,2,0,7,1,0,1,1,0,2,3,3,7,7,2,1,4,0,3,0,1
17,1,2,1,7,7,1,0,1,1,0,2,3,3,7,7,2,1,4,1,3,4,1
18,1,2,2,0,7,1,0,1,0,0,2,3,3,7,7,2,1,4,1,3,4,1
19,0,0,2,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,2,1
20,0,0,1,8,1,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,2,1
23,0,2,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,2,1
24,0,2,1,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,2,1
25,0,3,0,0,6,1,0,1,0,0,2,3,3,7,7,2,1,4,0,5,4,0
27,0,0,2,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,2,1
30,0,2,1,0,1,1,0,0,7,0,3,3,1,7,7,2,1,4,1,5,3,1
33,0,5,0,3,6,1,0,1,0,0,2,3,3,7,7,2,1,4,0,4,4,0
34,0,2,0,8,0,1,1,1,7,1,0,3,3,7,7,2,1,4,1,4,6,1
35,0,0,2,8,1,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,2,1
37,0,2,1,8,1,1,0,0,1,0,3,3,1,7,7,2,1,4,0,5,3,1
38,0,2,0,0,6,1,0,1,4,0,2,3,3,7,7,2,1,4,0,5,4,0
39,1,2,1,7,7,1,0,1,7,0,2,3,3,7,7,2,1,4,1,4,0,1
40,0,2,2,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,2,1
41,0,2,1,7,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,0,1
42,0,2,1,8,1,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,2,1
46,0,2,1,0,0,1,0,0,10,0,3,3,1,7,7,2,1,4,0,3,0,1
47,0,2,2,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,0,1
48,0,0,2,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,1,2,2,1
51,0,3,0,3,6,1,1,0,1,1,2,3,3,7,7,2,1,0,1,0,0,0
52,0,0,2,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,0,1
53,0,2,2,8,1,1,0,0,0,0,1,3,3,7,7,2,1,4,0,2,0,1
54,0,2,1,0,0,1,0,0,7,0,3,3,1,7,7,2,1,4,0,5,3,1
55,0,5,0,3,6,1,0,1,0,0,2,3,3,7,7,2,1,4,1,4,4,0
56,0,0,1,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,2,1
57,0,0,2,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,2,1
59,0,0,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,0,1
60,0,3,2,0,6,1,1,0,0,1,2,3,3,7,7,2,1,0,0,0,0,0
61,0,2,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,0,1
63,0,2,1,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,0,1
64,0,2,0,3,6,1,0,1,7,0,2,3,3,7,7,2,1,4,1,4,4,0
68,0,2,1,0,0,1,0,0,7,0,3,3,1,7,7,2,1,4,0,3,3,1
69,0,0,2,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,0,1
71,0,2,2,7,1,1,1,1,1,1,0,3,3,7,7,2,1,4,6,4,6,1
72,0,3,1,0,1,1,0,0,7,0,3,3,1,7,7,2,1,4,1,5,3,1
73,1,2,1,0,7,1,0,1,10,0,2,3,3,7,7,2,1,4,1,4,4,1
74,0,3,1,0,0,1,0,0,1,0,3,3,1,7,7,2,1,4,1,5,0,1
75,0,2,2,0,6,1,1,0,0,1,2,0,3,7,7,2,1,0,1,3,0,0
77,0,3,0,3,6,1,0,1,1,0,2,3,3,7,7,2,1,4,1,5,4,0
78,0,2,0,3,6,1,1,0,1,1,2,3,3,7,7,2,1,0,1,3,0,0
79,0,2,1,8,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,3,0,1
80,0,2,2,0,6,1,1,0,0,1,2,3,3,7,7,2,1,0,0,3,0,0
81,0,0,2,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,0,1
83,0,3,1,0,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,0,1
84,0,5,0,0,6,1,0,1,1,0,2,3,3,7,7,2,1,4,1,4,4,0
85,0,2,0,0,6,1,0,1,1,0,2,3,3,7,7,2,1,4,1,5,4,0
86,0,0,2,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,0,1
87,0,2,1,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,3,0,1
88,0,2,1,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,2,1
89,0,2,2,0,6,1,1,0,1,1,2,3,3,7,7,2,1,0,1,0,0,0
92,0,2,2,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,0,1
93,0,0,2,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,0,1
94,0,2,1,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,3,0,1
95,0,2,0,0,6,1,1,0,7,1,2,0,3,7,7,2,1,0,0,3,0,0
96,0,0,2,8,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,0,1
99,0,0,1,7,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,0,1
100,0,2,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,2,1
101,0,2,1,8,0,1,0,0,10,0,3,3,1,7,7,2,1,4,1,5,0,1
102,0,0,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,2,1
103,0,0,1,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,2,1
104,0,2,2,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,0,2,2,1
105,0,2,2,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,0,1
106,0,5,0,3,6,1,0,1,4,0,2,3,3,7,7,2,1,4,0,5,4,0
109,0,2,1,8,1,1,0,0,7,0,3,3,1,7,7,2,1,4,1,3,0,1
110,0,5,0,3,6,1,0,1,7,0,2,3,3,7,7,2,1,4,1,5,4,0
111,0,2,1,8,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,0,1
113,0,5,0,0,6,1,0,1,0,0,2,3,3,7,7,2,1,4,1,5,4,0
115,1,3,1,0,7,1,0,1,7,0,2,3,3,7,7,2,1,4,0,4,0,1
116,0,3,2,3,6,1,1,0,0,1,2,3,3,7,7,2,1,0,1,0,0,0
118,0,2,2,7,6,1,1,0,1,1,2,3,0,7,7,2,1,0,0,3,0,0
119,0,0,2,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,0,1
120,0,3,0,3,6,1,1,0,3,1,2,3,3,7,7,2,1,0,1,0,0,0
122,0,0,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,2,1
124,0,0,1,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,2,1
125,0,3,2,7,1,1,1,1,10,1,0,3,3,7,7,2,1,4,6,4,6,1
128,1,2,1,7,7,1,0,1,10,0,2,3,3,7,7,2,1,4,1,4,4,1
132,0,0,2,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,0,1
133,0,2,1,0,0,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,3,1
134,0,0,1,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,2,1
135,0,5,0,0,6,1,0,1,0,0,2,3,3,7,7,2,1,4,1,4,4,0
136,0,3,1,0,0,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,3,1
137,0,2,1,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,0,2,0,1
138,0,2,0,3,6,1,1,0,0,1,2,0,0,7,7,2,1,0,0,3,0,0
140,0,2,1,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,2,1
142,0,0,1,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,2,1
143,0,2,1,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,0,1
144,0,2,2,0,6,1,1,0,7,1,2,0,3,7,7,2,1,0,1,0,0,0
145,0,2,1,7,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,0,1
146,0,5,0,0,6,1,0,1,0,0,2,3,3,7,7,2,1,4,0,4,4,0
148,0,2,1,0,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,3,0,1
149,0,0,1,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,2,0,1
150,0,2,1,7,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,2,0,1
151,0,0,1,7,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,2,1
152,0,0,2,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,3,0,1
154,0,0,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,0,1
155,0,2,0,0,6,1,0,1,0,0,2,3,3,7,7,2,1,4,1,5,4,0
156,0,3,1,0,1,1,0,0,1,0,3,3,1,7,7,2,1,4,1,5,0,1
157,0,2,1,7,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,0,1
159,0,0,2,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,0,1
160,0,0,2,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,2,1
161,0,2,1,0,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,0,1
164,0,0,2,8,1,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,0,1
166,0,0,1,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,0,1
167,0,3,1,8,1,1,0,0,7,0,3,3,1,7,7,2,1,4,1,3,0,1
168,0,0,1,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,2,1
169,0,0,1,7,0,1,0,0,0,0,1,3,3,7,7,2,1,4,0,2,2,1
170,0,0,1,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,0,1
171,0,2,1,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,2,1
173,1,2,1,7,7,1,0,1,7,0,2,3,3,7,7,2,1,4,1,4,4,1
174,0,5,0,0,6,1,0,1,4,0,2,3,3,7,7,2,1,4,1,5,4,0
175,0,3,0,0,6,1,0,1,4,0,2,3,3,7,7,2,1,4,0,4,4,0
177,0,3,1,0,0,1,0,0,7,0,3,3,1,7,7,2,1,4,0,3,3,1
178,1,2,1,7,7,1,0,1,0,0,2,3,3,7,7,2,1,4,0,3,0,1
179,0,0,2,7,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,2,1
180,0,3,0,3,6,1,0,1,7,0,2,3,3,7,7,2,1,4,0,4,4,0
182,0,2,1,0,0,1,0,0,10,0,3,3,1,7,7,2,1,4,1,5,3,1
183,0,2,0,7,6,1,1,0,7,1,2,3,0,7,7,2,1,0,0,3,0,0
185,0,0,2,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,2,1
186,0,3,2,8,0,1,1,1,10,1,0,3,3,7,7,2,1,4,1,4,6,1
187,0,2,2,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,2,2,1
190,0,2,2,7,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,2,1
191,0,2,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,2,1
193,0,2,1,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,0,1
194,0,0,2,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,0,1
195,0,2,2,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,0,1
196,0,2,0,7,6,1,1,0,3,1,2,0,3,7,7,2,1,0,0,3,0,0
197,0,3,1,0,1,1,0,0,1,0,3,3,1,7,7,2,1,4,0,5,3,1
198,1,2,2,7,7,1,0,1,0,0,2,3,3,7,7,2,1,4,1,4,4,1
201,0,0,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,0,1
203,0,2,2,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,0,1
204,0,0,2,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,2,1
205,0,2,0,8,0,1,1,1,1,1,0,3,3,7,7,2,1,4,1,4,6,1
206,0,2,0,3,6,1,0,1,1,0,2,3,3,7,7,2,1,4,1,5,4,0
208,0,0,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,2,1
210,0,2,1,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,0,1
211,0,2,1,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,0,1
212,0,5,0,3,6,1,0,1,7,0,2,3,3,7,7,2,1,4,1,4,4,0
214,1,2,2,7,7,1,0,1,0,0,2,3,3,7,7,2,1,4,0,3,0,1
216,0,3,0,7,0,1,1,1,7,1,0,3,3,7,7,2,1,4,1,4,6,1
217,0,2,1,7,1,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,2,1
218,0,0,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,0,1
219,0,2,2,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,0,1
220,0,2,2,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,0,1
221,1,2,1,0,7,1,0,1,7,0,2,3,3,7,7,2,1,4,0,4,4,1
222,0,0,2,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,0,1
223,0,2,0,3,6,1,0,1,1,0,2,3,3,7,7,2,1,4,0,5,4,0
224,1,2,1,7,7,1,0,1,0,0,2,3,3,7,7,2,1,4,0,3,4,1
225,0,2,1,8,1,1,0,0,1,0,3,3,1,7,7,2,1,4,1,5,3,1
228,0,2,0,7,1,1,1,1,10,1,0,3,3,7,7,2,1,4,1,4,6,1
229,0,2,1,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,0,1
232,0,3,1,8,0,1,0,0,7,0,3,3,1,7,7,2,1,4,0,3,3,1
233,0,3,1,8,0,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,3,1
236,0,3,0,7,0,1,1,1,7,1,0,3,3,7,7,2,1,4,6,4,6,1
237,0,2,2,7,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,0,1
238,0,2,2,7,1,1,1,1,7,1,0,3,3,7,7,2,1,4,6,4,6,1
239,0,2,1,7,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,2,1
240,0,3,1,8,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,3,1
243,1,2,2,0,7,1,0,1,7,0,2,3,3,7,7,2,1,4,1,3,0,1
244,0,5,0,0,6,1,0,1,4,0,2,3,3,7,7,2,1,4,1,4,4,0
245,0,0,1,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,2,1
246,0,0,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,0,1
247,0,0,1,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,1,2,2,1
248,0,3,0,0,6,1,0,1,0,0,2,3,3,7,7,2,1,4,1,4,4,0
249,0,2,2,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,2,1
250,0,0,1,7,1,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,0,1
252,0,3,1,0,1,1,0,0,10,0,3,3,1,7,7,2,1,4,1,3,0,1
255,0,3,0,7,1,1,1,1,10,1,0,3,3,7,7,2,1,4,6,4,6,1
256,0,3,0,3,6,1,0,1,4,0,2,3,3,7,7,2,1,4,0,4,4,0
257,0,3,2,3,6,1,1,0,7,1,2,3,3,7,7,2,1,0,0,0,0,0
258,0,2,1,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,2,1
259,0,0,2,7,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,2,1
260,1,3,1,0,7,1,0,1,10,0,2,3,3,7,7,2,1,4,0,3,4,1
261,0,2,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,2,1
264,0,3,1,8,0,1,0,0,1,0,3,3,1,7,7,2,1,4,1,3,3,1
265,0,2,1,0,0,1,0,0,10,0,3,3,1,7,7,2,1,4,1,3,3,1
267,0,2,1,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,2,1
268,0,3,0,0,6,1,1,0,3,1,2,3,3,7,7,2,1,0,0,3,0,0
271,0,0,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,2,1
273,0,2,2,8,1,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,2,1
274,0,0,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,2,1
275,0,3,1,0,0,1,0,0,1,0,3,3,1,7,7,2,1,4,0,3,0,1
277,0,0,1,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,3,0,1
278,0,2,1,0,1,1,0,0,1,0,3,3,1,7,7,2,1,4,1,5,3,1
280,0,2,0,3,6,1,0,1,4,0,2,3,3,7,7,2,1,4,0,5,4,0
283,0,0,1,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,0,1
285,0,0,2,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,2,1
287,0,2,0,3,6,1,1,0,7,1,2,0,0,7,7,2,1,0,0,3,0,0
288,0,3,2,8,0,1,1,1,7,1,0,3,3,7,7,2,1,4,1,4,6,1
289,1,2,1,7,7,1,0,1,7,0,2,3,3,7,7,2,1,4,0,3,0,1
290,0,2,0,7,6,1,1,0,0,1,2,0,3,7,7,2,1,0,0,0,0,0
291,0,0,1,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,0,1
293,0,0,1,7,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,0,1
295,0,2,0,0,6,1,0,0,7,1,0,3,3,3,5,2,1,4,1,5,6,1
298,0,3,1,0,0,1,0,0,7,0,3,3,1,7,7,2,1,4,0,5,0,1
301,0,2,1,8,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,0,1
304,1,2,1,7,7,1,0,1,0,0,2,3,3,7,7,2,1,4,0,4,4,1
305,0,2,2,8,0,1,1,1,10,1,0,3,3,7,7,2,1,4,1,4,6,1
308,0,3,2,7,1,1,1,1,10,1,0,3,3,7,7,2,1,4,1,4,6,1
310,0,3,0,8,0,1,1,1,10,1,0,3,3,7,7,2,1,4,6,4,6,1
311,0,2,2,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,0,1
312,0,0,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,2,1
313,0,2,1,0,1,1,0,0,7,0,3,3,1,7,7,2,1,4,1,3,3,1
314,0,0,1,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,0,2,0,1
315,0,2,2,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,2,1
317,0,0,2,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,0,1
319,1,2,1,0,7,1,0,1,10,0,2,3,3,7,7,2,1,4,0,4,4,1
320,0,0,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,2,1
321,0,0,1,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,2,1
322,0,0,1,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,0,1
323,0,2,1,7,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,0,1
325,0,2,1,0,0,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,0,1
326,0,0,2,8,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,0,1
327,0,2,0,3,6,1,0,1,4,0,2,3,3,7,7,2,1,4,1,4,4,0
328,0,2,1,0,1,1,0,0,1,0,3,3,1,7,7,2,1,4,0,5,0,1
329,0,2,2,7,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,0,1
330,0,0,1,7,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,0,1
332,0,3,0,8,0,1,1,1,7,1,0,3,3,7,7,2,1,4,1,4,6,1
333,0,0,1,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,0,1
334,0,2,0,0,6,1,1,0,1,1,2,3,0,7,7,2,1,0,1,0,0,0
335,0,2,0,8,1,1,1,1,1,1,0,3,3,7,7,2,1,4,1,4,6,1
336,0,2,2,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,2,1
338,0,2,0,0,6,1,0,1,4,0,2,3,3,7,7,2,1,4,1,5,4,0
340,0,3,1,0,0,1,0,0,7,0,3,3,1,7,7,2,1,4,1,3,3,1
341,0,0,1,7,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,0,1
342,0,0,2,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,2,1
345,0,3,1,0,0,1,0,0,7,0,3,3,1,7,7,2,1,4,1,5,3,1
346,0,2,1,8,0,1,0,0,7,0,3,3,1,7,7,2,1,4,1,5,3,1
347,0,2,1,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,0,1
348,0,2,0,0,6,1,1,0,3,1,2,3,0,7,7,2,1,0,1,3,0,0
349,0,2,0,0,6,1,1,0,7,1,2,0,0,7,7,2,1,0,0,0,0,0
350,0,3,2,0,6,1,1,0,0,1,2,0,3,7,7,2,1,0,0,0,0,0
352,0,2,2,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,2,0,1
354,0,2,1,8,0,1,0,0,10,0,3,3,1,7,7,2,1,4,1,3,3,1
355,0,2,0,8,0,1,1,1,7,1,0,3,3,7,7,2,1,4,6,4,6,1
356,0,0,1,8,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,0,1
357,0,2,0,3,6,1,1,0,1,1,2,3,3,7,7,2,1,0,0,3,0,0
358,0,2,1,8,0,1,0,0,10,0,3,3,1,7,7,2,1,4,1,3,0,1
360,0,2,2,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,2,1
361,0,5,0,0,6,1,0,1,1,0,2,3,3,7,7,2,1,4,1,5,4,0
362,0,2,2,7,0,1,0,0,0,0,1,3,3,7,7,2,1,4,0,3,2,1
363,0,0,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,0,1
364,0,5,0,0,6,1,0,1,0,0,2,3,3,7,7,2,1,4,0,5,4,0
365,0,0,1,8,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,2,1
367,0,0,1,8,0,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,0,1
369,0,2,2,7,6,1,1,0,0,1,2,0,3,7,7,2,1,0,1,3,0,0
370,0,2,1,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,0,3,2,1
371,0,0,2,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,2,0,1
372,0,2,0,0,6,1,0,0,1,1,0,3,3,3,7,2,1,4,1,5,6,1
373,0,2,1,0,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,5,3,1
374,0,2,2,0,6,1,1,0,1,1,2,3,3,7,7,2,1,0,0,0,0,0
377,0,0,2,8,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,3,2,1
378,0,2,2,8,1,1,0,0,4,0,1,3,3,7,7,2,1,4,0,2,2,1
379,0,0,1,7,0,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,0,1
380,0,2,0,3,6,1,0,1,0,0,2,3,3,7,7,2,1,4,1,4,4,0
381,0,3,1,0,0,1,0,0,10,0,3,3,1,7,7,2,1,4,0,3,0,1
383,0,2,2,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,1,2,2,1
384,0,2,1,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,2,1
386,1,2,2,0,7,1,0,1,7,0,2,3,3,7,7,2,1,4,1,3,4,1
388,0,0,1,7,0,1,0,0,1,0,1,3,3,7,7,2,1,4,0,2,2,1
389,0,0,2,8,1,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,2,1
390,0,2,2,7,1,1,0,0,0,0,1,3,3,7,7,2,1,4,1,3,2,1
391,0,2,1,8,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,2,1
392,0,0,1,8,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,0,1
393,0,2,2,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,1,3,2,1
394,0,2,2,7,0,1,0,0,4,0,1,3,3,7,7,2,1,4,0,3,0,1
398,0,2,1,0,1,1,0,0,1,0,3,3,1,7,7,2,1,4,1,3,3,1
399,0,2,1,8,1,1,0,0,1,0,3,3,1,7,7,2,1,4,0,5,0,1
400,1,2,1,0,7,1,0,1,0,0,2,3,3,7,7,2,1,4,0,4,0,1
401,0,0,1,8,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,2,0,1
402,0,2,0,7,1,1,1,1,7,1,0,3,3,7,7,2,1,4,6,4,6,1
404,0,3,0,3,6,1,1,0,3,1,2,0,0,7,7,2,1,0,1,0,0,0
405,0,2,1,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,0,3,0,1
406,0,0,1,7,0,1,0,0,10,0,1,3,3,7,7,2,1,4,1,3,2,1
407,0,3,1,0,1,1,0,0,10,0,3,3,1,7,7,2,1,4,0,3,0,1
408,0,2,2,7,1,1,0,0,1,0,1,3,3,7,7,2,1,4,1,2,2,1
409,0,2,2,7,0,1,1,1,1,1,0,3,3,7,7,2,1,4,1,4,6,1
